"1","A Network Lecture","03 Apr 2012","Bangalore","0","1","0","0"
"2","Dark Chocolate","06 May 2012","IIT Bombay","1","0","0","0"
"3","ForgottenKeys","17 Mar 2012","IIT Bombay","1","1","0","0"
"4","A Night of Valentine Day","14 Feb 2012","IIT Bombay","1","0","0","0"
"5","Visit of a day","21 May 2012","IIT Bombay","1","0","0","0"
"6","Lovebird vs Freebird","14 Jun 2012","Bangalore","0","0","0","0"
"7","A Journey to Home","31 Jul 2012","Mumbai-Ahmedabad Highway","1","0","0","0"
"8","Missing","05 Aug 2012","Bangalore","1","0","0","0"
"9","An Intern","30 Aug 2012","Bangalore","0","0","0","0"
"10","Coding Contest","03 Nov 2012","IIT Bombay","1","0","0","0"
"11","Guesting a Friend","19 Nov 2012","Mumbai","1","0","0","0"
"12","Placement TechTrip - Part 1","14 Dec 2012","Bangalore","0","0","13","0"
"13","Placement TechTrip - Part 2","17 Dec 2012","Bangalore","0","0","0","12"
"14","Friend of a lifeless person - Part 1","28 Jan 2013","Bangalore","1","0","15","0"
"15","Friend of a lifeless person - Part 2","28 Jan 2013","Bangalore","1","0","0","14"
"16","Retracting Journey","25 Feb 2013","Bangalore","0","0","0","0"
"17","Money, a bunch of papers or not?","04 Apr 2013","Bangalore","0","0","0","0"
"18","Second Thought - Part 1","03 Jun 2013","Mumbai","1","0","19","0"
"19","Second Thought - Part 2","03 Jun 2013","Mumbai","1","0","0","18"
"20","Because You Fly","17 Aug 2013","Bangalore","1","0","0","0"
"21","A comment. it can break; it can make.!","28 Oct 2013","Bangalore Office","1","0","0","0"
"22","Something better stays unchanged - Part 1","28 Feb 2014","IIT Bombay","1","0","23","0"
"23","Something better stays unchanged - Part 2","28 Feb 2014","IIT Bombay","1","0","0","22"
"24","Efforts catch eyes ... and sometimes heart too! - Part 1","14 May 2014","Ahmedabad","1","0","25","0"
"25","Efforts catch eyes ... and sometimes heart too! - Part 2","14 May 2014","Ahmedabad","1","0","0","24"
"26","A Crazy Obsession - Part 1","03 Jul 2014","IIT Bombay","1","0","27","0"
"27","A Crazy Obsession - Part 2","03 Jul 2014","IIT Bombay","1","0","0","26"
"28","A Rational Choice - Part 1","31 Aug 2014","Bangalore","1","0","29","0"
"29","A Rational Choice - Part 2","31 Aug 2014","Bangalore","1","0","0","28"
"30","Trail of fights","28 Sep 2014","Bangalore","1","0","0","0"
"31","Waiting at the airport","06 Oct 2014","Kempegowda Airport, Bangalore","1","0","0","0"
"32","A wait turns into an another wait","21 Oct 2014","IIT Bombay","1","0","0","0"
"33","Nobody - Part 1","16 Nov 2014","Bangalore","1","0","34","0"
"34","Nobody - Part 2","16 Nov 2014","Bangalore","1","0","0","33"
"35","A Mysterious Chance - Part 1","20 Dec 2014","Bangalore","1","0","36","0"
"36","A Mysterious Chance - Part 2","20 Dec 2014","Bangalore","1","0","0","35"
"37","An Expired Proposal","02 Mar 2015","Ahmedabad","1","0","0","0"
"38","Playing The Player And Not The Game - Part 1","16 Mar 2015","Mumbai","1","1","39","0"
"39","Playing The Player And Not The Game - Part 2","16 Mar 2015","Mumbai","1","0","0","38"
"40","A Surrealistic Moment","07 Jul 2015","Hometown","1","0","0","0"
"41","A sad but charming smile","28 Dec 2015","Bangalore","1","0","0","0"
"42","A wish that matters","07 Mar 2016","Grad College","1","0","0","0"
"43","A date worth of life - Part 1","12 Jun 2016","Hometown","1","1","44","0"
"44","A date worth of life - Part 2","12 Jun 2016","Hometown","1","1","0","43"
"45","An unnoticed man","11 Jul 2016","Ahmedabad","1","1","0","0"
"46","Two Papers - Part 1","03 Aug 2016","Bangalore Office","1","0","47","0"
"47","Two Papers - Part 2","03 Aug 2016","Bangalore Office","1","0","0","46"
"48","Fault in Our Trust","11 Nov 2016","Frankfurt Airport","1","0","0","0"
"49","Stroke of the Color - Part 1","10 Feb 2017","Bangalore","1","1","50","0"
"50","Stroke of the Color - Part 2","10 Feb 2017","Bangalore","1","0","0","49"
"51","Persistence Leads to Success - Part 1","19 Oct 2017","Bangalore Apartment","1","1","52","0"
"52","Persistence Leads to Success - Part 2","19 Oct 2017","Bangalore Apartment","1","0","0","51"
"53","A Game of Chess","19 Feb 2018","Bangalore Office","1","1","0","0"
"54","Love Needs Luck More Than Reason - Part 1","03 Jun 2018","Ahmedabad","1","1","55","0"
"55","Love Needs Luck More Than Reason - Part 2","03 Jun 2018","Ahmedabad","1","1","0","54"
